abandon,v./n.放棄；放縱
centralization,n.集中；集權化
centurion,n.古羅馬的百人隊長
ceramic,n.陶瓷製品；a.陶器的
ceramics,n.制陶業；陶器
cereal,n.穀類；穀類食品
cerebral,a.大腦的；深思的
ceremonious,a.儀式隆重的
ceremony,n.典禮，儀式
certainty,n.確定的事情
certification,n.證明
certitude,n.確定無疑
cessation,n.中止，(短暫的)停止
cession,n.割讓，轉讓
chafe,v.摩擦生熱；擦痛；激怒
chaff,n.穀物的皮殼，米糠
chagrin,v./n.失望，懊惱
chalice,n.大酒杯；聖餐杯
chameleon,n.變色龍，蜥蜴；善變之人
champion,n.冠軍；鬥士；擁護者；v.擁護
championship,n.冠軍地位；錦標賽
chancellor,n.大臣，總理，首席法官，大學校長
chandelier,n.枝形吊燈(燭台)
chant,n.聖歌；v.歌唱或背誦
chaos,n.混亂
chapel,n.(附屬於教堂或監獄等的)小教堂
char,v.燒焦；使…燃燒成焦炭
characteristic,a.有特色的；典型性的；n.與眾不同的特徵
characterization,n.描繪，刻畫
characterize,v.描述或刻畫…的特點
charade,n.用動作等表演文字意義的字謎遊戲
charisma,n.(大眾愛戴的)領袖氣質；魅力
charitable,a.仁慈的；寬厚的
charity,n.仁慈；施捨
charlatan,n.江湖郎中，騙子
charm,n.魅力；咒語，咒符
charter,n.(公司)執照；憲章；v.包租車船
chary,a.小心的，審慎的
chase,v.雕鏤；追捕
chasm,n.深淵，大溝；大差別
chaste,a.貞潔的；樸實的
chastise,v.嚴厲懲罰；譴責
chauvinistic,a.沙文主義的，過分愛國主義的
check,v.使突然停止，阻止
chef,n.廚師
cherubic,a.(尤指孩子)胖乎乎而天真無邪的
chicanery,n.詭計，狡詐
chide,v.叱責，指責
chimera,n.神話怪物；夢幻
chip,n.薄片，碎片；集成電路片
chipmunk,n.花栗鼠(像松鼠的美洲小動物)
chisel,n.鑿子；v.鑿；欺騙
chivalrous,a.武士精神的；對女人彬彬有禮的
choice,a.上等的；精選的
choir,n.(教堂的)歌唱隊
choke,v.(使)窒息，阻塞
choleric,a.易怒的，暴躁的
chord,n.和弦，和音
choreography,n.舞蹈；舞蹈編排
chorus,n.合唱隊，歌舞團
chromatic,a.彩色的，五彩的
chromosome,n.染色體
chronic,a.慢性的，長期的
chrysanthemum,n.菊，菊花
chuckle,v.輕聲地笑
churl,n.粗鄙之人
cinder,n.餘燼，礦渣
cipher,n.零；無影響力的人；密碼
circuit,n.環行，環行道；線路；電路
circuitous,a.迂迴的，繞圈子的
circular,a.圓形的
circulate,v.循環；流通；發行
circulation,n.循環，流通；發行額
circumference,n.周圍；圓周；周長
circumlocution,n.迂迴累贅的陳述
circumscribe,v.限制
circumstantial,a.不重要的，偶然的；描述詳細的
circumvent,v.回避；用計謀戰勝或規避
cistern,n.貯水池
cite,v.引用，引述
civil,a.國內的；公民的；文明的
civilian,n.平民
civility,n.彬彬有禮，斯文
claim,v.要求或索；要n.聲稱擁有的權力
clairvoyance,n.超人的洞察力
clam,n.蛤蜊，蛤肉；守秘密之人
clamor,v./n.吵鬧，喧嘩
clamp,n.鉗子；v.鉗緊
clandestine,a.秘密的，暗中從事的
clannish,a.排他的，門戶之見的
clarify,v.澄清
clarion,a.聲音高而清晰的；n.尖音小號聲；尖音小號
clarity,n.清楚
clash,v.衝突，撞擊
clasp,n.鈎子，扣子；緊握
classify,v.分類，歸類
clause,n.從句；(法律等)條款
clay,n.黏土
cleavage,n.裂縫；分裂
cleave,v.劈開；分裂
cleaver,n.切肉刀
cleft,n.裂縫；a.劈開的
clemency,n.溫和；仁慈，寬厚
clement,a.仁慈的；溫和的
clientele,n.(醫生、律師的)顧客，(商店的)常客
climax,n.頂點，高潮
clinch,v.釘牢；徹底解決
cling,v.緊抓住；捨不得放棄
clinical,a.臨床的；冷靜客觀的
clip,n.夾子，別針；v.修剪
clipper,n.大剪刀；快速帆船
clique,n.朋黨派系，小集團
clog,n.障礙；v.阻塞
cloister,n.修道院
closet,n.壁櫥；a.秘密的
clot,n.凝塊；v.使凝結成塊
cloture,n.辯論的終結
cloudburst,n.大暴雨，豪雨
clout,n.用手猛擊；權力，影響力
clown,n.小丑；v.扮小丑
cloying,a.甜得發膩的
clumsy,a.笨拙的；拙劣的
cluster,n.串，束，群；v.成群，成串
coagulant,n.凝結劑；凝血劑
coagulate,v.使凝結
coagulation,n.凝固
coalesce,v.聯合，合併
coalition,n.結合，聯合
coarse,a.粗糙的；低劣的；粗俗的
coarsen,v.使某物變粗糙
coax,v.哄誘，巧言誘哄
cob,n.玉米棒子；雄天鵝
cobbler,n.補鞋匠
cocoon,n.繭
coda,n.樂曲的尾聲
coddle,v.溺愛；悉心照料
code,n.密碼；法典；v.將某事物編寫成密碼
codify,v.將法律、規則等編成法典
coerce,v.強迫；壓制
coercion,n.強制，高壓統治
coeval,a.同年代的
cogent,a.有說服力的
cogitate,v.慎重思考，思索
cognizance,n.認識，察識，知識
cognizant,a.知道的，認識的
cohabit,v.共棲
coherent,a.連貫的，一致的
cohesion,n.內聚力；凝聚力
cohesive,a.凝聚的
coincide,v.巧合；一致
colander,n.濾器，漏勺
cold-blooded,a.[生]冷血的；殘酷的
collaborate,v.合作，協作；通敵
collage,n.拼貼畫
collapse,v.坍塌，塌陷；虛脫，暈倒
collar,n.衣領；戴在動物頸部的項圈
collate,v.對照，核對
collateral,a.平行的；旁系的；n.擔保品
collected,a.泰然自若的
collection,n.收藏品
collision,n.碰撞，衝突
colloquial,a.口語的，口頭的
colloquium,n.學術討論會
collude,v.串通，共謀
colon,n.冒號
colonize,v.建立殖民地
colonnade,n.柱廊
colony,n.菌群；殖民地
coloration,n.著色法，染色法；顏色，色澤
colossal,a.巨大的，龐大的
colossus,n.巨人；巨型雕像
coltish,a.似小馬的；不受拘束的
coma,n.昏迷狀態
comatose,a.昏迷的
combat,n./v.格鬥，搏鬥
combustible,a.易燃的；易激動的
comedienne,n.說笑話、演滑稽劇等的女演員
comely,a.動人的，美麗的
comic,a.可笑的；喜劇的；n.喜劇演員
comity,n.禮讓，禮儀
comma,n.逗號
commemorate,v.紀念(偉人、大事件等)
commence,v.開始，倡導
commencement,n.開始；(大學的)畢業典禮
commensurate,a.同樣大小的；相稱的
commentary,n.實況報道；(對書等的)集注
commingle,v.攙和，混合
commission,n.委託；傭金
commit,v.托付；承諾；犯罪
committed,a.(對事業，本職工作等)盡忠的
commodious,a.寬敞的
commodity,n.商品
commonplace,a.平常的
commonsense,a.具有常識的
commonwealth,n.共和國，聯邦
commotion,n.騷動，動亂
communal,a.全體共用的，共享的
commune,n.公社；v.與某人親密地交談
communicate,v.傳送信息，溝通
commute,v.交換；坐公交車上下班
compact,a.結實的；簡潔的；n.合同，協議
companion,n.同伴，同伙；受雇的陪伴人
comparison,n.比較，對照；比喻
compartment,n.隔間，車廂
compass,n.指南針，羅盤；界限，範圍
compassion,n.同情，憐憫
compassionate,a.有同情心的
compatible,a.和諧共處的，相容的
compatriot,n.同胞，同國人
compel,v.強迫
compelling,a.引起興趣的
compendium,n.簡要，概略
compensate,v.補償，賠償
compensatory,a.補償性的，報酬的
compete,v.競爭，對抗
competence,n.勝任，能力
compile,v.匯集；編輯
complacency,n.滿足，安心
complacent,a.自滿的，得意的
complaisance,n.彬彬有禮，殷勤，柔順
complaisant,a.順從的，討好的
complementary,a.互補的
compliance,n.順從，遵從
compliant,a.服從的，順從的
complicate,v.使某事複雜化
compliment,n./v.恭維，稱贊
comply,v.遵循，順從
component,n.成分，零部件
compose,v.寫，創作；組成
composed,a.鎮定的，沈著的
composer,n.作曲家
compost,n.混合肥料
composure,n.鎮靜，沈著；自若
compound,n.復合物；v.攙和
comprehend,v.理解；包括
comprehensible,a.能充分理解的
comprehensive,a.全面的，綜合的
compress,v.壓縮，濃縮
compromise,v.妥協；危害
compulsion,n.強迫；難以抗拒的衝動
compunction,n.懊悔，良心不安
concatenate,v.連結；連鎖
concave,a.凹的
conceal,v.隱藏，隱瞞
concede,v.承認(為正確)；讓步
conceit,n.自負，自大
conceive,v.想像，構想；懷孕
concentrate,v.集中，濃縮
conception,n.概念；開始
concerto,n.協奏曲
concession,n.讓步
conciliate,v.安撫，馴服
conciliatory,a.撫慰的，調和的
concise,a.簡潔的
conclave,n.秘密會議
conclusive,a.最後的，結論的；確鑿的，消除懷疑的
concomitant,a.伴隨而來的
concord,n.和睦；公約
concrete,a.具體存在的；n.混凝土
concur,v.意見相同，一致
concussion,n.腦震蕩；強烈震動
condemn,v.極力譴責；判刑
condense,v.濃縮
condescend,v.屈尊，俯就
condescending,a.謙遜的，故意屈尊的
condone,v.寬恕，原諒
conducive,a.有助於…的
conduct,n.品德，行為；v.領導，引導
conduit,n.渠道，引水道；水管
cone,n.松果；圓錐體
confection,n.甜食，糖果
confederacy,n.聯盟或同盟
confer,v.討論，商談；贈予
conference,n.討論會，協商會
confess,v.承認，供認
confide,v.信賴，傾訴
confidence,n.信任，自信，信心
confidential,a.機密的
configuration,n.結構，配置；輪廓
confine,v.限制，禁閉
confirm,v.證實，證明
confiscate,v.沒收；充公
conflagration,n.建築物或森林大火
conflate,v.合併
conflict,v./n.鬥爭，戰鬥；衝突，抵觸
conform,(to)v.符合或遵守公認的規則
conformist,n.尊奉者，英國國教徒
conformity,n.一致，遵從；順眾
confound,v.使迷惑，搞混
confront,v.面臨；對抗
congeal,v.凍結，凝固
congenial,a.意氣相投的；性情好的
congest,v.使擁擠；充血
conglomerate,v.集聚成團
congregate,v.聚集，集合
congruent,a.全等的，一致的
congruous,a.一致的，符合的；[數]全等的
conifer,n.針葉樹
conjecture,v./n.推測，臆測
conjoin,v.使結合
conjunction,n.聯合；連詞
conjure,v.懇求，祈求；變魔術，變戲法
connive,v.默許；縱容
connoisseur,n.鑒賞家，行家
connotation,n.言外之意，含蓄義
conquer,v.以武力征服
conquest,n.征服；戰利品
conscience,n.良心，是非感
conscientious,a.盡責的；小心謹慎的
conscript,v.強行徵兵，徵召
consensus,n.意見一致
consent,v.同意，允許
consequence,n.結果；重要性；價值
consequential,a.傲慢的，自以為是的
conservative,a.保守的，守舊的
conservatory,n.溫室；音樂學院
conserve,v.保全，保存
considerable,a.相當多的；值得考慮的
consign,v.托運；托人看管
consistency,n.一致性；堅實度，可靠性；不矛盾
consistent,a.前後一致的
console,v.安慰，撫慰
consolidate,v.鞏固；(使)堅強；合併
consolidation,n.合併，鞏固
consonant,a.調和的，一致的
conspicuous,a.顯著的，顯而易見的
conspiracy,n.共謀，陰謀
conspire,v.陰謀，共謀
constant,a.穩定的，不變的；n.常數
constellation,n.星座，星群
consternation,n.大為吃驚，驚駭
constituent,n.成分；選區內的選民
constitute,v.組成，構成；建立
constitution,n.憲法；體質
constitutional,a.章程的，法規的；素質上的，本質的
constrain,v.束縛，強迫；限制
constrained,a.束縛的，節制的
constraint,n.強制，強迫；對感情的壓抑
constrict,v.壓縮，收縮
construct,v.建築，構成
construe,v.解釋；翻譯
consul,n.領事
consummate,a.完全的，完善的；v.完成
contact,n./v.接觸；互通信息
contagious,a.傳染的，有感染力的
contain,v.包含，含有；控制；阻止，遏制
containment,n.阻止，遏制
contaminate,v.使…受污染
contemplate,v.深思
contempt,輕視，鄙視
contemptible,a.令人輕視的
contemptuous,a.鄙視的，表示輕蔑的
contend,v.與對手競爭；據理力爭
content,a.知足的，滿意的；n.內容；滿意
contented,a.心滿意足的
contention,n.爭論；論點
contentious,a.好辯的，善爭吵的
contest,v.競爭；對…表示懷疑
context,n.(語句等的)上下文
contiguous,a.接壤的，接近的
continent,a.自制的；n.大陸
contingent,a.意外的；視情況或條件而定的
continuation,n.繼續，延續
contort,v.(使)扭曲(deform)；曲解
contraband,n.違禁品，走私貨
contract,n.合同；v.訂合同；收縮
contradict,v.反駁，駁斥
contradictory,a.反駁的，反對的，抗辯的
contrast,v./n.對比
contravene,v.違背(法規，習俗等)
contrite,a.悔罪的，痛悔的
contrition,n.悔罪，痛悔
contrive,v.計劃，設計
contrived,a.不自然的，做作的
control,n.實驗對照組
controversial,a.引起或可能引起爭論的
controvert,v.反駁，駁斥
contumacious,a.違抗的，不服從的
conundrum,n.(答案有雙關意義的)謎語；難題
convalesce,v.(病)康復，復原
convalescent,a./n.康復中的(病人)
convenience,n.便利，有益；方便(的用具，機械等)
conventional,a.因循守舊的，傳統的
converge,v.會聚，集中於一點
convergent,a.會聚的
conversant,a.精通的，熟知的
converse,v.談話；a.逆向的n.相反的事物
convert,v.使改變(信仰等)；n.改變信仰的人
convertible,a.可轉換的；n.敞篷車
convex,a.凸出的
convey,v.運載，運送；表達
convict,v.定罪；n.罪犯
conviction,n.判罪；堅信
convince,v.使某人確信；說服
convivial,a.歡樂的，狂歡的
conviviality,n.歡樂；交遊
convoke,v.召集
convoluted,a.旋繞的；費解的
convulse,v.使震動，震驚
convulsion,n.騷動；痙攣
coop,n.(雞)籠，欄
cooperate,v.與他人合作
cooperative,a.聯營的，合作的；願意協助的
coordinate,n.同等物，坐標；v.使各部分協調；a.同等的
copious,a.豐富的，多產的
cord,n.考得(木材堆的體積單位，等於128立方英尺，3.6246立方米)；繩索
core,n.果心；核心)；v.去掉某物的中心部分
cornucopia,n.象徵豐收的羊角(羊角裝飾器內裝滿花、果、穀物等以示富饒)
coronation,n.加冕
corporate,a.團體的；共同的
corporeal,a.肉體的，身體的；物質的
corpuscle,n.血球，細胞
corral,n.(牛、馬等)畜欄
correspondent,a.符合的；n.記者
corroborate,v.支持或證實；強化
corrode,v.腐蝕，侵蝕
corrosive,a.腐蝕性的，腐蝕的，蝕壞的
corrugate,v.(使)起波浪形，起皺紋
corrugated,a.起皺紋的
corrupt,a.墮落的，腐敗的；文體有錯誤的
cosmic,a.宇宙的
cosmopolitan,n.世界主義者，四海為家的人
cosmopolitanism,n.世界性，世界主義
cosmos,n.宇宙
cosset,v.寵愛，溺愛
costume,n.服裝；劇裝
coterie,n.(有共同興趣的)小團體
coterminous,a.毗連的，有共同邊界的
cougar,n.美洲豹
countenance,v.支持，贊成；容忍；n.表情
counteract,v.消除，抵消
counterbalance,v.起平衡作用
counterfeit,v.偽造，仿造
countermand,v.撤回(命令)，取消(訂貨)
counterpart,n.相對應或具有相同功能的人或物
counterproductive,a.事與願違的
coup,n.意外而成功的行動
court,n.法庭，法院；宮廷，朝廷；v.獻殷勤；追求
covenant,n.契約；v.立書保證
covert,a.秘密的，隱密的
covet,v.貪求，妄想
cow,v.威脅
coward,n.膽小鬼
cower,v.畏縮，蜷縮
coy,a.靦腆的，忸怩的
cozen,v.欺騙, 哄騙
crab,n.蟹，螃蟹；v.抱怨，發脾氣
crabbed,a.暴躁的
crack,n.爆裂聲；裂縫；v.裂開；破解，破譯
craft,n.行業；手藝
cram,v.填塞，塞滿；臨時抱佛腳，為考試而學習
cramp,n.鐵箍，夾子；v.把…箍緊
cranky,a.怪癖的，任性的；不穩的
crass,a.愚鈍的，粗糙的
crate,n.簍，板條箱
crater,n.火山口；彈坑
cravat,n.領巾，領結
craven,a.懦弱的，畏縮的
craving,n.強烈的願望
crayon,>n.彩色臘筆、粉筆或其繪畫
crease,n.折縫，皺痕
credence,n.相信，信任
credible,a.可信的，可靠的
credit,n.賒購；信任；(電影)片頭字幕
credulous,a.輕信的，易信的
creek,n.小灣，小溪
creep,v.匍匐前進；悄悄地移動
crescendo,n.(音樂)漸強，高潮
crest,n.山頂，浪尖；羽冠
crestfallen,a.挫敗的，失望的
cringe,v.畏縮；諂媚
cringing,n./a.諂媚(的)，奉承(的)
criteria,n.評判標準
criterion,n.評判的標準，尺度
critic,n.批評者
critical,a.挑毛病的；關鍵的，危急的
critique,n.批評性的分析
croak,n.蛙鳴聲；v.發牢騷，抱怨
crochet,n.鈎針織物；v.用鈎針編織
crockery,n.陶器，瓦器
cronyism,n.任人唯親；對好朋友的偏袒
crook,v.使彎曲；n.鈎狀物
cross,a.生氣的
crouch,v.蹲伏，彎腰
crown,v.加冕，使成王，居…之頂
crucial,a.決定性的
crudity,n.粗糙，生硬
crumb,n.餅屑，麵包屑；碎裂的東西
crumble,v.弄碎；崩毀
crumple,v.弄皺；破裂
crusade,n.維護理想、原則而進行的運動或鬥爭
crust,n.硬的表面；(一片)麵包片；地殼
crutch,n.拐杖；v.支撐
crux,n.關鍵，癥結所在
cryogenic,a.低溫的，制冷的；低溫學的
cryptic,a.秘密的，神秘的
cub,n.幼獸；年輕無經驗的人
cubicle,n.大房間中隔出的小室
cue,v.暗示，提示；n.暗示，提示
cuisine,n.烹飪
culinary,a.廚房的；烹調的
culmination,n.頂點；結果
culpable,a.有罪的，該受譴責的
cult,n.宗派；崇拜
cultivate,v.種植；向…討好
cultivated,a.耕種的，栽植的；有修養的
cumbersome,a.笨重的
cumulus,n.積雲
cunning,a.善於騙人的；靈巧的；n.欺詐行為
cupidity,n.貪婪
curator,n.(博物館等)館長
curb,n.路緣，(街道的)鑲邊石；馬勒；v.控制
curdle,v.使凝結，變稠
curmudgeon,n.脾氣暴躁之人
curriculum,n.(全部的)課程
cursory,a.粗略的，草率的
curt,a.(言詞、行為)簡略而草率的
curtail,v.削減，縮短
cushion,n.坐墊；v.緩衝
custodian,n.管理員，監護人
custody,n.監管，保管
customary,a.合乎習俗的
cuticle,n.表皮
cutlery,n.(刀、叉、匙等)餐具
cyclical,a.循環的
cyclone,n.氣旋，颶風
cylinder,n.圓柱
cynic,n.犬儒主義者，憤世嫉俗者
cypress,n.柏樹
cytology,n.[生]細胞學
dabble,v.涉足，淺賞
daft,a.傻的
dagger,n.短劍，匕首
daguerreotype,n.(早期)銀版照相
dainty,n.精美食品；a.嬌美的；挑剔的
dally,v.閒蕩，嬉戲
damp,v.減弱，制止振動；a.潮濕的
damped,a.減震的，壓低(聲音)的
dampen,v.(使)潮濕；使沮喪，潑涼水
dandy,n.花花公子，好打扮的人
dapper,a.整潔漂亮的；動作敏捷的
dappled,a.有斑點的，斑駁的
daredevil,a./n.膽大的(人)，冒失的(人)
dart,n.飛鏢；v.急馳；投射
daunt,v.使膽怯，使畏縮
dawdle,v.閒蕩，虛度
deactivate,v.使無效
deaden,v.減低某物的力量或強度
deadlock,n.相持不下，僵局
deadpan,a./n.無表情的(臉)
dealing,n.生意行為；作風
dearth,n.缺乏，短缺
debacle,n.解凍；崩潰
debark,v.下船，下飛機，下車，卸載
debase,v.貶低，貶損
debate,n.正式的辯論，討論
debilitate,v.使衰弱
debouch,v.流出，進入(開闊地區)
debrief,v.向…詢問情況，聽取彙報
debris,n.廢墟，殘骸
debunk,v.揭穿真相，暴露
debut,n.初次登台，初次露面
decadence,n.衰落，頹廢
deceit,n.欺騙，欺詐
decency,n.正派，端莊
decent,a.適當的，可接受的；得體的
deception,n.欺騙手段
decibel,n.分貝(音量的單位)
deciduous,a.非永久的；短暫的；脫落的；落葉的
decimate,v.毀掉大部分；大量殺死
decipher,v.解開(疑團)；破譯(密碼)
declaim,v.高談闊論
declamation,n.雄辯，高調
decline,v.拒絕；變弱，變小；n.消減
decode,v.譯解(密碼)
decompose,v.(使)腐爛
decomposition,n.分解，腐爛，崩潰
decorate,v.裝飾某事物
decorum,n.禮節，禮貌
decrepit,a.衰老的，破舊的
decry,v.責難；貶低(價值)
dedication,n.對某事業或目的的忠誠
deduce,v.演繹，推斷
deduct,v.減去，扣除；演繹
deductive,a.推理的，演繹的
deed,n.行為；(土地或建築物的)轉讓契約、證書
deface,v.損壞
default,v./n.拖債；未履行的責任
defeatist,n.失敗主義者
defect,n.缺點，瑕疵；v.變節，脫黨
defendant,n.被告
defense,n.防禦，防護
defer,v.推延；聽從
deference,n.敬意，尊重
deferential,a.順從的，恭順的
defiance,n.挑戰，違抗，反抗
deficiency,n.缺陷；不足
deficit,n.不足，赤字
defile,v.弄污，弄髒；n.(山間)小道
defined,a.定義的；清晰的
definite,a.清楚的，明確的
definition,n.(輪廓等)清晰；定義
definitive,a.明確的，有權威的
deflated,a.灰心喪氣的
deflect,v.偏離，轉向
defoliator,n.落葉劑
deforestation,n.採伐森林
defraud,v.欺騙某人
deft,a.靈巧的，熟練的
defuse,v.從(爆破裝置)中卸除引信；緩和緊張狀態或危急局面
defy,v.違抗，藐視
degradation,n.降低身份，受辱
dehydrate,v.除去水分，脫水
deify,v.奉為神；崇拜
deign,v.屈尊，惠允(做某事)
dejected,a.沮喪的，失望的
delectable,a.賞心悅目的
delegate,n.代表；v.委派…為代表，授權
deleterious,a.(對身心)有害的，有毒的
deliberate,a.深思熟慮的，故意的；v.慎重考慮
delicacy,n.細嫩；精緻，優雅
delicate,a.嬌嫩的；精緻的，優美的
delimit,v.定界，劃界
delineate,v.描畫
delinquency,n.失職，過失
delinquent,a.疏忽職務的
delirious,a.精神錯亂的
delirium,n.精神錯亂
delta,n.三角洲
delude,v.欺騙，哄騙
deluge,n.大洪水；暴雨
delusion,n.欺騙，幻想
delve,v.深入探究，鑽研
demagogue,n.蠱惑民心的政客
demand,v.要求，苛求
demanding,a.苛刻的，過分要求的
demean,v.貶抑，降低
demise,n.死亡；財產轉讓
demography,n.人口統計，人口學
demolish,v.破壞；拆除
demolition,n.破壞，毀壞
demonstrate,v.證明，論證；示威
demonstrative,a.證明性的；喜怒形於色的
demoralize,v.使士氣低落
demote,v.降級，降職
demotic,a.民眾的，通俗的
demur,v.表示異議，反對
demystify,v.弄清楚
den,n.獸穴，窩
denigrate,v.污蔑，誹謗
denim,n.粗斜紋棉布
denizen,n.居民；外籍居民
denomination,n.命名；(長度，幣值的)單位
denote,v.表示；指示意義
denouement,n.(小說的)結尾，結局
denounce,v.指責
dent,n.缺口，凹痕；v.弄凹
denture,n.假牙
denude,v.脫去；剝蝕；剝奪
denunciation,n.譴責，斥責
depict,v.描繪，描畫
deplete,v.倒空；耗盡
deplore,v.悲悼，哀嘆
deport,v.(將外國人、罪犯等)驅逐出境
deportation,n.驅逐出境
depose,v.免職；作證
deposition,n.免職；沈積；作證
depraved,a.墮落的，腐化的
depravity,n.墮落，惡習
deprecate,v.反對，輕視
depreciate,v.輕視；貶值
depressed,a.消沈的；凹陷的
depression,n.憂愁，消沈；數量減少
deprivation,n.剝奪；缺乏
deputy,n.代表；副警長
deracinate,v.根除，杜絕
deranged,a.精神錯亂的，有精神病的
derelict,a.荒廢的；玩忽職守的；n.被遺棄的人
dereliction,n.遺棄，棄置
deride,v.嘲弄，愚弄
derivation,n.發展，起源；詞源
derivative,a.派生的；無創意的
dermatologist,n.皮膚病學家
derogate,v.貶低，誹謗
derogatory,a.不敬的，誹謗的
descend,v.下來，下降
descendant,n.後代，後裔
descent,n.降落；侵襲；血統
descry,v.遠遠看到，望見
desecrate,v.玷辱，褻瀆
desert,v.放棄，離棄
deserted,a.荒蕪的，無人的
deserter,n.背棄者，逃亡者
desertion,n.離棄，遺棄
desiccate,v.(使)完全乾涸，脫水
designation,n.指定；名稱，稱呼
designer,n.設計者，構思者
desirable,a.值得要的
desperate,a.不顧死活的，拼命的
despicable,a.可鄙的，卑劣的
despise,v.鄙視，藐視
despondent,a.失望的，意氣消沈的
despot,n.暴君
despotic,a.專橫的，暴虐的
despotism,n.專制，暴政
destitution,n.匱乏，窮困
desultory,a.不連貫的，散漫的
detach,v.分離，分遣
detached,a.分開的；超然的
detain,v.拘留；使延遲
detection,n.查出，探獲
deter,v.威懾，嚇住；阻止
detergent,a.淨化的；n.清潔劑
deteriorate,v.(使)變壞，惡化
deterioration,n.惡化，墮落
determinant,n.決定因素；a.決定性的
determination,n.決心；確定；預測
detest,v.深惡，憎惡
detonation,n.爆炸，爆炸聲
detour,n.彎路；繞行之路
detraction,n.貶低，誹謗
detrimental,a.損害的，造成傷害的
detritus,n.碎屑；廢墟
devastate,v.摧毀，破壞
deviant,a.越出常規的
deviate,v.越軌，脫離
deviation,n.背離
devious,a.不正直的；彎曲的
devise,v.發明，設計；圖謀；遺贈給
devoid,a.空的，缺少的
devoted,a.投入的，熱愛的
devotee,n.愛好者
devotional,a.獻身的，崇拜的
devour,v.吞食；貪婪地享受
devout,a.虔敬的；忠誠的，忠心的
dexterity,n.純熟，靈巧
dexterous,a.靈巧的，熟練的
diabetes,n.糖尿病
diabolical,a.惡毒的，狠毒的
diagnose,v.判斷，診斷
diagonal,a.對角的；n.對角線
diagram,n.圖解，圖表
dialect,n.方言
diameter,n.直徑
diaphanous,a.精緻的，透明的
diatribe,n.(口頭或書面猛烈的)抨擊
dictate,v.口述；命令
didactic,a.教誨的；說教的
die,n.金屬模子，印模
diehard,n.頑固分子
differentiate,v.辨別，區別
diffident,a.缺乏自信的
diffuse,v.散布，(光等)漫射；a.漫射的，散漫的
digestion,n.消化，吸收
digit,n.手指，足趾；數字，數碼
dignity,n.尊嚴，尊貴
digress,v.離題
digression,n.離題，題外話
dilapidate,v.(使)荒廢，(使)毀壞
dilapidated,a.破舊的，倒塌的
dilate,v.(身體某部位)張大，擴大
dilatory,a.慢吞吞的，磨蹭的
dilemma,n.困境，左右為難
dilettante,n.半瓶醋，業餘愛好者
diligence,n.勤勉，勤奮
dilute,v.把(液體)弄稀，弄淡
dim,v.使暗淡，使模糊
dimension,n.維度，尺寸
diminution,n.減少，縮減
dimple,n.酒窩，笑靨
din,n.喧鬧聲，嘈雜聲
dingy,a.骯髒的；褪色的
diplomatic,a.外交的；圓滑的
dire,a.可怕的
dirge,n.哀歌
disabuse,v.打消(某人的)錯誤念頭；糾正
disaffect,v.使不滿；使不忠
disagreeable,a.討厭的；乖戾的
disarm,v.使…解除武器；使…緩和
disarray,n.混亂，漫無秩序
disaster,n.災難，大不幸
disbar,v.取消律師資格
disburse,v.支付，支出
discard,v.扔掉，拋棄
discern,v.(費勁)識別，看出
discernible,a.可識別的，依稀可辨的
discerning,a.識別力強的
discharge,v.流出；釋放；解雇；履行義務
disciple,n.信徒，弟子
discipline,v.訓練，訓導；n.紀律；懲罰，處分
disclaim,v.放棄權利；拒絕承認
disclose,v.使某物顯露
discography,n.唱片分類目錄；錄音音樂研究
discombobulate,v.擾亂，使困惑
discombobulated,a.擾亂的，打亂的
discomfit,v.使懊惱；使難堪
discomfited,a.困惑的，尷尬的
discomfiture,n.狼狽，難堪
discompose,v.使失態，慌張
disconcert,v.使…尷尬
discord,n.不和，紛爭
discount,n.折扣
discourse,n.演講，論述
discredit,v.懷疑；n.喪失名譽
discreet,a.言行謹慎的
discrepancy,n.不同，矛盾
discrete,a.個別的；不連續的
discretion,n.謹慎，審慎
discretionary,a.自由決定的
discriminate,v.區分
discriminatory,a.歧視的，差別待遇的
discursive,a.散漫的，無層次的
disdain,n./v.輕視，鄙視
disembodied,a.無實體的，空洞的
disenchant,v.對…不再抱幻想，使清醒
disengage,v.脫離，解開
disentangle,v.解決，解脫，解開，澄清
disfigure,v.毀容
disgorge,v.嘔出；(水)流走
disgruntle,v.使不滿意
disguise,v.假扮；掩飾
disgust,n.反感，厭惡
disillusion,v.夢想破滅，醒悟
disinfect,v.殺菌，消毒
disinfectant,n.消毒劑
disinter,v.挖出，挖掘
disinterested,a.公正的，客觀的
disjunction,n.分離，分裂
disjunctive,a.分離的，相反的
dislocate,v.使脫臼；把…弄亂
dislodge,v.逐出，取出
dismal,a.使人悲傷的，陰沈的
dismantle,v.拆除
dismay,n.沮喪，氣餒；v.使氣餒
disparage,v.貶抑，輕蔑
disparate,a.迥然不同的
disparity,n.不同，差異
dispassionate,a.平心靜氣的
dispatch,v.派遣；一下子做完；吃完；n.迅速
dispel,v.驅散，消除
dispensable,a.不必要的，可有可無的
dispense,v.分配，分發
disperse,v.消散，驅散
displace,v.換置；使某人某物離開原位
disposable,a.一次性使用的；可動用的
disposal,n.清除，處理
dispose,v.使傾向；處理掉
disposed,a.願意的，想乾的
disposition,n.處理；天性，氣質
disproof,n.反證，反駁
disprove,v.證明…有誤
dispute,v.爭論
