venerate,v.崇敬，敬仰
intestine,n.腸；a.內部的
intumescence,n.腫大，腫脹
investiture,n.(宗教)任職儀式，授權儀式
invigilate,v.監考
invoice,n.發票，發貨清單；v.給開發票
iridescence,n.彩虹色
irradiate,v.使明亮，生輝
iterate,v.重做，反復重申
jamboree,n.快樂、喧鬧的集會
jap.(at),v.開玩笑或諷刺
jesting,a.滑稽的；愛開玩笑的
jitters,v.緊張不安
jolly,a.歡樂的，快樂的
jubilant,a.喜悅的，歡呼的
juncture,n.危機關頭；結合處
jurisprudence,n.法律學，法學
kaleidoscopic,a.千變萬化的
kiosk,n.售貨亭；電話亭
knoll,n.小山；小圓丘
laceration,n.撕裂；裂口
lackey,n.卑躬屈膝者，走卒
laggard,a.緩慢的；落後的；n.落後者
lamentable,a.令人惋惜的，悔恨的
laminate,v.切成薄板(片)
lapidary,n.寶石工，寶石專家
latch,n.門閂；v.用門閂閂牢
layman,n.普通信徒(有別於神職人員)；門外漢
layover,n.旅途中的短暫停留
lean,v.傾斜；斜靠；a.瘦骨嶙峋的
leash,n.(系狗的)繩子
leeward,a.順風的
leeway,n.(可供活動的)餘地
legible,a.易讀的
lesion,n.傷口；損害
lexical,a.詞彙的；詞典的
lexicon,n.詞典
libelous,a.誹謗的
libido,n.性慾；生命力
licit,a.不禁止的，合法的
ligature,n.綁縛之物(尤指系住血管以免失血的線)
limbo,n.不穩定，中間狀態
lineal,a.直系的，嫡系的
lineaments,n.(面部等的)特徵；輪廓
lingual,a.舌的；語言的
littoral,a.海岸的；n.海濱，沿海地區
livid,a.(傷)青灰色的；(臉色)蒼白的)；狂怒的
loam,n.沃土(.ric.soil)
locust,n.蝗蟲；貪吃的人
locution,n.語言風格；慣用語
loft,n.閣樓，頂樓
logjam,n.浮木阻塞；阻塞狀態；僵局
loiter,v.遊蕩；徘徊
lore,n.知識；傳說
lout,n.粗人
lowbred,a.粗野的，魯莽的
lubricious,a.光滑的；好色的
lucre,n.[貶]錢，利益
lucubrate,v.刻苦攻讀，埋頭苦幹
lure,n.誘惑力；v.引誘
luscious,a.美味的；肉感的
lusty,a.精力充沛的
lynch,v.私刑處死
mackintosh,n.雨衣；防水膠布
maculate,a.有斑點的
maestro,n.藝術大師；音樂大師
magniloquent,a.誇張的
maim,v.使殘廢
makeshift,n./a.代用品(的)；權宜之計(的)
malediction,n.詛咒
malefactor,n.罪犯，作惡者
maleficent,a.有害的，犯罪的
malice,n.惡意.怨恨
malignant,a.惡毒的，充滿恨意的
mallet,n.木槌，大頭錘
malodor,n.惡臭
manacle,n.手銬
maneuver,v./n.(軍隊)調遣；策略，操縱
mangy,a.(獸)患疥癬的；污穢的
maraud,v.搶劫，掠奪
mariner,n.水手，海員
marrow,n.骨髓；精華
matador,n.鬥牛士
matriarchy,n.母權制；婦女統治
matriculate,v.錄取
maxim,n.格言，普遍真理
mayhem,n.嚴重傷害罪
medicate,v.用藥醫治，加入藥物
megalomania,n.自大狂
memento,n.紀念品
menial,a.僕人的，卑微的；n.家僕
mermaid,n.美人魚
mesmerism,n.催眠術，催眠狀態
mesmerize,v.對„催眠；迷住
metallurgy,n.冶金
miasma,n.瘴氣；不健康的環境或影響
midget,n.侏儒
mien,n.風采，態度
militant,a.好戰的，好暴力的
millennium,n.一千年；(未來的)太平盛世
miraculous,a.奇跡的，不可思議的
miscellany,n.混合物
missive,n.信件；(尤指)公函
mistimed,a.不合時機的
mistral,n.寒冷乾燥的強風
molest,v.騷擾，干擾
monastery,n.男修道院，僧院
monograph,n.專題論文
monopolize,v.壟斷，獨佔
monotone,a.單調的
monstrous,a.巨大的；可怕的
moody,a.喜怒無常的，脾氣壞的
moor,n.曠野地，荒野；v.使(船)停泊
mope,v./n.抑鬱不樂，生悶氣
morass,n.沼澤地；困境；v.陷入困境
moron,n.極蠢之人，低能兒
motile,a.能動的，有自動力的
mottle,v.使成雜色
mountebank,n.江湖郎中，騙子
muddle,n.混亂，迷惑
muddy,a.多泥的；渾濁的，不純的
muggy,a.(天氣)悶熱而潮濕的
mulct,n.罰金v.處以罰金；詐取，詐騙
multifarious,a.多種的，各式各樣的
multitude,n.多數；大眾，平民
muniments,n.契據，房契
musty,a.發霉的，有霉臭的
mutilate,v.殘害；切斷(肢體)
mutinous,a.叛變的；反抗的
mutton,n.羊肉
muzzy,a.頭腦糊塗的
naivety,n.天真，純樸，幼稚
nasal,a.鼻的；有鼻音的
natation,n.游泳，游泳術
naysayer,n.懷疑者，否定者
necessitous,a.貧困的；急需的
necropolis,n.大墓地，公墓
nectar,n.瓊漿玉液；花蜜
nemesis,n.報應，天罰
neonate,n.初生兒
nephritis,n.腎炎
nestle,v.舒適地安頓；依偎
nestling,n.尚未離巢的小鳥
nethermost,a.最低的，最下方的
neurosis,n.精神病
niche,n.(放藝術品等的)壁龕；合適的位置
niggard,n.吝嗇鬼
niggling,a.瑣碎的
nihilism,n.虛無主義(生存無意義)；民粹主義(消滅一切舊體系建立新制度)
nimble,a.敏捷的，靈活的
nippers,n.鉗子，鑷子
nipping,a.尖酸的；刺骨的
nonesuch,n.無匹敵的人
nonpareil,a./n.無匹敵的(人)
noose,n.繩套，絞索(刑)
notability,n.著名，顯著
nude,a.赤裸的；n.裸體者
numerology,n.數字命理學(通過數字算命)
numinous,a.莊嚴的，神聖的
numismatic,a.錢幣學的
nuptial,a.婚姻的，婚禮的
nymph,n.年輕女神；少女
oar,n.槳；v.划(船)
oatmeal,n.燕麥片
obelisk,n.方尖碑
oblation,n.宗教的供品，祭品
observance,n.遵守，奉行(法律、習俗)
obtrude,v.突出；強加
occidental,n./a.西方(的)
ocular,a.眼睛的；視覺的
oddments,n.殘餘物，零頭
odoriferous,a.有氣味的
olfactory,a.嗅覺的
oligarch,n.寡頭政治執政者
omnivorous,a.雜食的；興趣雜的
onslaught,n.猛攻，猛襲
onus,n.義務，負擔
ooze,v.慢慢地流，滲出；(勇氣)逐漸消失
opiate,n.安眠藥，鴉片制劑
optimization,n.最優化
opus,n.巨著；(尤指)音樂作品
oracular,a.神諭的；意義模糊的
orchid,n.蘭花；稱贊
orifice,n.小開口，小孔
orotund,a.(聲音)洪亮的；誇張的
otiose,a.不必要的，多餘的
outfox,v.以機智勝過
oversight,n.疏忽，失察，勘漏
overweening,a.自負的，過於自信的
palaver,v./n.空談；奉承
palings,n.籬笆，木柵欄
pamper,v.縱容，過分關懷
pane,n.窗格玻璃
panoramic,a.全景的，全貌的，概論的
pantechnicon,n.傢具倉庫，傢具搬運車
pantheon,n.萬神殿
paralyze,v.使癱瘓；使無效
parley,n.和談；會談；v.和談，會談
parlous,a.靠不住的，危險的
parochial,a.教區的；地方性的，狹小的
parturition,n.生產，分娩
pastor,n.牧師，牧人
pathetic,a.引起憐憫的；令人難過的
pathos,n.感傷，哀婉，悲愴
pawn,n./v.典當，抵押；n.被小人物利用
peaky,a.消瘦的；虛弱的
peculate,v.挪用(公款)
pecuniary,a.金錢的
peddle,v.兜售
peek,v.偷看
peep,n./v.瞥見，偷看；初現
peery,a.窺視的；好奇的；懷疑的
pelt,v.扔；n.毛皮
pendent,a.吊著的，懸掛的
penetration,n.穿透；洞察力
pension,n.養老金，退休金
pensive,a.沈思的；愁眉苦臉的
penumbra,n.半明半暗之處；邊緣部分
peptic,a.產生胃酶的，助消化的
percolate,v.過濾出；滲透
percussion,n.敲擊樂器
perigee,n.近地點
periphrastic,a.迂迴的，冗贅的
perishable,a.易腐敗的；n.易腐敗的東西
persnickety,a.勢利的；挑剔的
personage,n.名人；(戲劇)角色
perverse,a.不合適的，剛愎自用的，故意作對的
pervert,v.使墮落；誤用；歪曲
pesky,a.討厭的，煩人的
pettish,a.易怒的，使性子的
pharisaic,a.偽善的，偽裝虔誠的
phial,n.小瓶(藥水瓶)
philology,n.語文學，文學語言學
phobia,n.恐懼症
phony,a.假的，偽造的
piazza,n.陽台；廣場
piebald,a.花斑的，斑駁的
piecemeal,a.一件一件的，零碎的
pier,n.橋墩；碼頭
pilfer,v.偷竊
pillage,v./n.搶劫，掠奪
pincers,n.鉗子，鑷子
piscatorial,a.捕魚的，漁民的
pitiless,a.無情的，冷酷的，無憐憫心的
pivot,n.樞軸，中心；v.旋轉
plank,n.厚木板；要點
plaza,n.廣場；集市
plebeian,n.平民；a.平民的
plenary,a.全權的；全體出席的
plentitude,n.充分
pleonastic,a.羅嗦的
pliers,n.鉗子
plump,a.頗胖的，豐滿的
poach,v.偷獵，竊取
poltroon,n.懦夫
polyandry,n.一妻多夫制
polyglot,a./n.通曉多種語言的(人)
polymath,n.知識廣博者
pony,n.小型馬
porcine,a.豬的，似豬的
porridge,n.麥片粥
portable,a.輕便的，手提式的
portend,v.預兆，預示
positiveness,n.肯定，確信
posterior,a.(在時間、次序上)較後的
postscript,n.附言，後記
potboiler,n.粗制濫造的文藝作品
prance,v.昂首闊步
prefigure,v.預示；預想
prehensile,a.能抓物的，能纏繞東西的
preponderant,a.以重勝的，優勢的，壓倒性的
prepossessing,a.(個性等)給人好感的
presentiment,n.預感，預覺
presumable,a.可能的，可假定的
pretence,n.虛偽；藉口
prevision,n.先見，預感
prick,n.小刺；刺痛v.刺傷；戳穿
prickle,n.(動物或者植物上的)刺，棘；v.刺痛
prig,n.自命不凡者，道學先生
prissy,a.謹小慎微的，神經質的，為小事掛慮的
procreate,v.生育
procrustean,a.強求一致的
progenitor,n.祖先，始祖
prognosticate,v.預測，預示
proofread,v.校對
prorogue,v.休會；延期
protrude,v.突出，伸出
proverbially,adv.無人不知地
psalm,n.贊美詩，聖詩
puberty,n.青春期
puffery,n.極力稱贊，誇大的廣告，吹捧
pullulate,v.繁殖；劇增
pulpit,n.講壇
pulsate,v.有規律的振動
pulsation,n.脈動，跳動，有節奏的鼓動
pummel,v.(用拳)接連地打，打擊
purblind,a.愚鈍的；視力不佳的
purport,n.意義，涵義
purse,v.縮攏或撅起；n.錢包
putative,a.公認的，普遍認為的
putrefy,v.使腐爛
putrid,a.腐臭的
pygmy,n.矮人，侏儒
pyromania,n.縱火狂
quadrangle,n.四邊形
quadruped,n.四足獸
quagmire,n.沼澤地；困境
qualm,n.疑懼；緊張不安
queasy,a.令人惡心的；充滿疑慮的
queer,a.奇怪的，瘋狂的
query,n./v.質問，疑問，詢問
quintessence,n.完美的榜樣；精華
quip,a.俏皮話，妙語
racketeer,n.敲詐者，獲取不正當錢財的人
raillery,n.善意的嘲弄
rapscallion,n.流氓，惡棍
rasp,v.發出刺耳的聲音
ratify,v.批准(協定等)
ravish,v.迷住；強奪
rebarbative,a.令人討厭的，冒犯人的
reckon,v.推斷，估計；猜想，設想
recline,v.斜倚，躺臥
reconnoiter,v.偵察，勘察
reedy,a.長滿蘆葦的；(聲音)高而尖的
regal,a.帝王的；華麗的
regent,n.攝政者(代國王統治者)
regiment,n.(軍隊)團；v.嚴格控制
reincarnate,v.使化身，轉生
rejoin,v.回答，答辯
rejoinder,n.回答
remission,n.寬恕，赦免
remit,v.免除；寬恕；匯款
remittance,n.匯款
remittent,a.(病)間歇性的，忽好忽壞的
remonstrance,n.抗議，抱怨
remonstrate,v.抗議；規勸
remunerate,v.報酬，補償
renascent,a.再生的，復活的
rendition,n.表演，扮演，演奏，演唱
renunciate,v.放棄
repent,v.懊悔，後悔
replica,n.複製品
reportage,n.報道，報道的消息，報告文學
repository,n.貯藏室，倉庫
rescript,n.公告，法令；重抄
reshuffle,v.再洗牌；改組
restorative,a.恢復健康的
resurge,v.復活
retention,n.保留，保持
retentive,a.有記憶力的
reticulation,n.網目，網狀
retrenchment,n.節省，削減
retroactive,a.溯及既往的，有追溯效力的
reversion,n.返回(原狀，舊習慣)；逆轉
revulsion,n.厭惡，憎惡；劇烈反應
rhapsody,n.贊美之詞；狂想曲
riffle,n.漣漪
riffraff,n.（貶）烏合之眾，群氓
rigmarole,n.冗長的廢話
rinse,v.以清水沖洗，漂洗
rip,v.撕裂，撕破
roister,v.喝酒喧嘩
rollicking,a.歡鬧的
rosy,a.玫瑰色的；美好的；健康的
rote,n.死記硬背
rotund,a.(人)圓胖的；(聲音)洪亮的
roundabout,a.繞遠道的，轉彎抹角的
rout,n.大敗，潰敗
rove,v.流浪，漂泊
rowdy,a.吵鬧的，粗暴的
rubble,n.(一堆)碎石，瓦礫
ruck,n.皺摺；普通群眾
rucksack,n.(旅行等的)背包
ruddy,a.(臉色)紅潤的，紅色的
rumble,v.發出低沈的隆隆聲音
ruminate,v.反芻；深思
rustle,v.(使某物)發出輕而爽的聲音
rustler,n.偷牛(馬)賊
saccharine,a.(態度)嬌媚的；(說話聲)嬌滴滴的
sack,n.粗布袋；v.掠奪
sacrament,n.聖禮，聖事
sadistic,a.施虐狂的，性施虐狂的
safe,n.保險櫃；冷藏室，飯櫥
saga,n.英雄故事，長篇小說
saliferous,a.含鹽的，產鹽的
sanatorium,n.療養院，休養所
sangfroid,n.沈著，臨危不懼
sanitary,a.衛生的，清潔的
sapling,n.樹苗；年輕人
sardonic,a.嘲笑的
satanic,a.窮凶惡極的
sated,a.厭膩的
scab,n.創口上所結的疤、痂
scabrous,a.粗糙的
scads,n.大量，巨額
scald,v.燙，用沸水消毒；n.燙傷
scamper,v.奔跑，快跑
scan,v.細查，細看；瀏覽，掃描；分析韻律
scar,n.傷痕，傷疤
scare,n./v.驚嚇，受驚，威嚇
scarp,n.懸崖，陡坡
scathe,n./v.損害，燒傷，燒焦；嚴厲批評
sceptical,a.懷疑的，不相信的
scintillate,v.閃爍；(談吐)流露機智
scission,n.切斷，分離，分裂
scooter,n.滑行車，踏板車
scorching,a.酷熱的
scour,v.擦洗，擦亮；四處搜索
scramble,v.攀登；爭奪
scrape,v.刮擦，擦掉
screed,n.冗長的演說，長篇大論的文章
scrumptious,a.(食物)很可口的
scud,v.疾行，疾駛
scutter,v.疾走
scuttle,n.舷窗，艙口蓋
seafaring,a.航海的，跟航海有關的
seclude,v.和別人隔離
sect,n.(宗教等)派系
sedition,n.煽動叛亂
seditious,a.煽動性的
self-abasement,n.自卑，自謙
self-absorbed,a.自戀的
self-assertion,n.堅持己見，自信
senile,a.年老的
sensitize,v.使某人或某事物敏感
sensual,a.肉慾的，淫蕩的
sententious,a.好說教的；簡要的
sentry,n.哨兵，步哨
sequacious,a.盲從的
sequela,n.後繼者；後遺症
sequestrate,v.扣押，沒收
serenade,n.夜曲
serendipity,n.善於發掘新奇事物的天賦
serfdom,n.農奴身份，農奴境遇
sermonize,v.說教，講道
serpentine,a.似蛇般繞曲的，蜿蜒的
shabby,a.破爛的；卑鄙的
shack,n.簡陋的小屋，棚屋
shanty,n.簡陋的小木屋
shawl,n.(婦女用)披肩
sheaf,n.一捆，一束
sheen,n.光輝，光澤
shibboleth,n.陳舊語句
shimmer,v.閃爍，微微發亮
shipwright,n.造船者
showy,a.俗艷的；炫耀的
shred,n.碎片，破布；些許
shrivel,v.(使)枯萎
shuffle,v.拖步走；支吾；洗牌
shuttle,v.(使)穿梭移動，往返運送
sidesplitting,a.令人捧腹大笑的
sidle,v.(偷偷地)側身而行
signatory,n.簽署者，簽署國
signature,n.簽名，簽字
simian,a.猿的，猴的；n.猴，類人猿
simile,n.明喻
sinister,a.不吉祥的；險惡的
sizzler,n.炎熱天氣，大熱天
skein,n.一束(線或紗)
skittish,a.輕浮的，輕佻的
skullduggery.n.舞弊
skunk,n.臭鼬，黃鼠狼；v.欺騙
skyrocket,v.陡升，猛漲
slapdash,adv./a.馬虎地(的)
slaver,v.流口水；奉承；n.口水
slay,v.殺，殘殺
sleazy,a.邋遢的；格調低下的
sledge,n.雪橇
sledgehammer,n.長柄大錘
sleight,n.巧妙手法，巧計；靈巧
sling,v.投擲，扔；n.吊腕帶；吊索
slit,v.撕裂；n.裂縫
slobber,n.口水；v.流口水；粗俗地表示
sloven,n.不修邊幅的人
slue,v.(使)旋轉
slump,v.猛然落下；暴跌
smirch,v.玷污；n.污點
snappish,a.脾氣暴躁的
snappy,a.精力充沛的；瀟灑的
snicker,v./n.竊笑，暗笑
snob,n.勢利小人
snuggle,v.挨近，依偎
sociable,a.好交際的，友好的，合群的
sojourn,v./n.逗留，寄居
somnolent,a.思睡的；催眠的
sonorous,a.(聲音)洪亮的
souse,v.浸在水中，使濕透
spacious,a.廣闊的，寬敞的
spangle,n.(縫在衣服上的)金屬片；v.閃光
spasmodic,a.痙攣的；間歇性的
speleology,n.洞窟學
splashy,a.濺水的；炫耀顯眼的
spool,n.(纏錄音帶等的)卷盤(軸)
spoor,n.(野獸的)足跡，臭跡
spout,v.噴出；滔滔不絕地講
sprawl,v.伸展手腳而臥
sprint,v.短距離全速奔跑
spunk,n.勇氣，膽量
spurn,n.拒絕，擯棄
squeamish,a.易受驚的；易惡心的
stab,v.刺傷，戳
stagger,v.蹣跚，搖晃
stagy,a.不自然的，演戲一般的
standstill,n.處於停頓狀態，中止
star-crossed,a.時運不濟的
stash,v.藏匿，隱藏
steeple,n.尖塔，尖閣
stoop,v.俯身；降低身份
stouthearted,a.剛毅的，大膽的
straggle,v.迷路；落伍；蔓延
strangulation,n.扼殺，勒死
studio,n.工作室，畫室，演播室
stun,v.使暈倒，使驚嚇，打暈
stupefy,v.(使)茫然，嚇呆
stupendous,a.巨大的；大得驚人的
sublimate,v.(使)昇華，淨化
subscribe,v.捐助；訂購
subsist,v.生存下去；繼續存在，維持生活
substratum,n.基礎；地基
subvention,n.補助金，津貼
sully,v.玷污，污染
sundry,a.各式各樣，各種的
superannuated,a.老邁的
superlative,a.最佳的
superstition,n.迷信，盲目恐懼
surveillance,n.監視，盯梢
swank,v.誇耀，炫耀
swarm,n.(蜜蜂)一群；一群(人)
swarthy,a.(皮膚等)黝黑的
swear,v.詛咒
swipe,n./v.猛擊
symposium,n.專題討論會
tack,n.大頭釘，圖釘
tarry,v.徘徊，耽擱
tattered,a.衣衫襤褸的；破舊的
tautological,a.用語重復的
teem,v.充滿；到處都是；v.下傾盆大雨
teetotal,a.滴酒不沾的
tendinous,a.腱的
tensile,a.張力的，可伸展的
thespian,a.戲劇的，演戲的
thorny,a.多刺的；痛苦的，困難的
thrall,n.奴隸，農奴
thrash,v.鞭打
thresh,v.打穀，脫粒
thrifty,a.節省的
throes,n.劇痛
throttle,v.掐脖子；扼殺；n.節流閥
timeworn,a.陳舊的，老朽的
tinge,v.染色；使帶氣息
tipple,v.酗酒；n.烈酒
topsy-turvy,a.顛倒的，相反的；亂七八糟的
torpedo,n.魚雷
torrid,a.酷熱的
torso,n.(人體的)軀乾；軀乾像
torture,n.酷刑，折磨；v.對„施以苦刑
touching,a.引起同情的
touchstone,n.試金石；檢驗標準
tousle,v.弄亂(頭髮)
traduce,v.中傷，誹謗
trammel,v./n.束縛，妨礙n.魚網
tramp,v.重步走；長途跋涉
transfuse,v.輸血；充滿
trawl,n.拖網；v.用拖網捕魚；蒐羅
treachery,n.陰險；背叛
tread,v.踩踏；n.步履；車輪胎面
treasurer,n.司庫；財務員；出納員
trek,v.艱苦跋涉
tremulous,a.顫動的，不安的
trench,n.溝，壕溝
tresses,n.(複數)女人的長髮
tribulation,n.苦難，災難
tributary,n./a.支流(的)；進貢(的)
trickery,n.欺騙，詭計
trident,n.三叉戟；三叉魚叉
trivia,n.瑣事，無價值之物
truant,a.逃避責任的；n.逃學者，逃避者
truism,n.自明之理，真理
trumpery,a.中看不中用的
tumid,a.腫起的，腫脹的
tundra,n.凍原，苔原
tutelage,n.監護，指導
twaddle,n.胡說八道，瞎扯
tycoon,n.有錢有勢的企業家；大亨
typhoon,n.颱風
ulcerate,v.潰爛，生惡瘡
ulterior,a.較晚的，較遠的；不可告人的
ultramundane,a.超俗的，世界之外的
unbidden,a.未經邀請的
unbridled,a.放縱的
uncooperative,a.不願合作的
undisputable,a.無可爭辯的，毫無疑問的
undulate,v.波動，起伏
unexceptional,a.非例外的，普通的，平凡的
unilateral,a.單方面的
unison,n.齊奏，齊唱；一致的或協調的行動
upfront,a.坦率的
upstart,n.突然升官的人，暴發戶
upsurge,n.(情緒)高漲
uptight,a.焦慮不安的
urchin,n.頑童；[動物]海膽
ursine,a.熊的，像熊的
utensil,n.工具，(廚房)用具
uxorious,a.寵愛妻子的
vagabond,n.浪蕩子；流浪者；a.流浪的
valetudinarian,n.體弱的人，過分擔心生病的人
valor,n.勇武，英勇
vampire,n.吸血鬼
vanguard,n.前衛
vegetate,v.像植物般生活；無所事事
ventral,a.腹部的
verbatim,a.逐字的，照字面的
verge,n.邊緣
vermin,n.害蟲，寄生蟲
vernal,a.春季的，春季似的
versemonger,n.拙劣詩人，打油詩人
vesture,n.衣服；覆蓋物
viand,n.[-s]食品，食物
vicissitude,n.變化，變遷，榮枯，盛衰
villainous,a.邪惡的，惡毒的
vim,n.精力，活力
vindication,n.洗冤；證實
vinegared,a.酸的，尖刻的
virago,n.潑婦，好罵人或好支配人的女人
virile,a.有男子氣的，雄健的
visage,n.臉，面貌
visceral,a.內心深處的；內臟的
vitreous,a.玻璃的，玻璃狀的
vomit,n.嘔吐；嘔吐物；催吐劑
vulpine,a.狐狸般的，狡猾的
wade,v.涉水；跋涉
wail,v.哀號，痛哭
waive,v.放棄；推遲考慮
wallop,n./v.重擊，猛打
wallow,n./v.(豬等)在泥水中打滾；沈溺於
wangle,v.用巧計或花言巧語獲得某事物
wanton,a.無節制的，放縱的；頑皮的
warble,v.(尤指鳥)叫出柔和的顫音
warden,n.看守人，管理員
waspish,a.易怒的；尖刻的
waylay,v.埋伏，伏擊
weird,a.古怪的，荒唐的
welsh,v.賴債不還；失信
whelm,v.用„覆蓋，淹沒
whelp,n.犬科的幼獸
whit,n.一點兒，少量
wig,n.假髮
wiggle,v.扭動，蠕動
windfall,n.風吹落的果實；意外的好運
winkle,v.緩慢而費力地把某人弄出
wiretap.n.竊聽
witch,n.巫婆，女巫
wizardry,n.魔術；熟練
wizen,a.凋謝的，枯萎的
wont,n.習慣，習俗
woodcut,n.木刻，木版畫
wraith,n.幽靈；骨瘦如柴的人
wrangle,v.爭吵，吵架
wrath,n.憤怒，大怒
wreak,v.發洩怒火，報仇
wreathe,v.盤繞；把„做成花環
wreckage,n.殘骸
xenophobia,n.仇外，排外
yaw,v.(船、飛機等)偏航
yeoman,n.自耕農；鄉下人
zesty,a.熱望的
access,v.得到；使用
annex,n.附件
asphalt,n.瀝青
barbarian,n.野蠻人；adj.粗魯的
barcod.條形碼
behoove,v.應該，有必要；適宜
bewitching,a.迷人的
bumpkinly,a.鄉巴佬的
cell,n.單人牢房
chaperone,n.(陪少女上交際場所的)女伴
coat,v.塗抹
columnist,n.專欄作家
dab,v.輕拍；輕輕地塗抹
dashing,a.時髦的；活躍的
dike,n.堤防
dissect,v.仔細分析，剖析
employ,v.使用
epistolary,a.書信體的
evildoer.n.壞人，壞蛋
fair-minded,a.公平的，公正的
fetching,a.動人的，迷人的
fibrous,a.纖維的
foreordain,v.預先注定
gag,n.惡作劇，開玩笑
granulate,v.使成顆粒狀
hardihood,n.大膽；魯莽
heavy-handed,a.笨拙的
jettison,n.拋棄
ladle,n.杓子，長柄杓
lance,v.切開
leverage,n.槓桿作用；力量上的優勢
liken,v.把„比作
madcap,a.輕率的；狂妄的
marbled,a.有大理石花紋樣的；肥瘦混合的
mastermind,n.策劃，設計者
memorandum,n.備忘錄
nicety,n.精確；細微的差別
observant,a.注意的，當心的
pat,a.合適的
photorespiration,n.光呼吸作用
privy,a.個人的，秘密參與的
proscenium,n.舞台
radical,a.激進的
rascal,n.流氓；不誠實的人
rosy,a.樂觀的，有希望的
scratch,v.亂塗亂畫
screen,v.篩選，系統地測試以決定是否適合
scrimp,v.節省或精打細算
simpleton,n.笨蛋，傻瓜
slink,v.潛逃
snarl,v.咆哮，怒罵
spike,v.釘牢；扣球
spoilsport,n.破壞他人興致的人
staunch,a.堅定的
steward,n.(輪船、飛機等)乘務員；管家
traipse,v.漫步，閒逛
tureen,n.有蓋的湯碗
untrammeled,a.自由自在的
verisimilitude,n.逼真
weather,v.經受住風雨的
windfall,n.意料之外的好運或收入
willy-nilly,a.不可避免的；亂糟糟的
winning,a.動人的
wrest,v.用猛烈的拉、扭的動作取得；奪取
animadvert,v.苛責，非難
arrant,a.完全的，徹底的；極壞的
assoil,v.赦免，釋放，補償，贖
befoul,v.弄髒，污蔑中傷
besot,v.使沈醉，使糊塗
bide,v.等待，逗留
blather,v.胡說八道
bleary,a.視線模糊的，朦朧的；精疲力竭的
bonny,a.健美的，漂亮的
bouncing,a.精力充沛的；健康的；活潑的
brew,v.釀酒；招致；醖釀，即將來臨
buffet,v.用手打；連續打擊；搏鬥
bulldoze,v.用推土機推平；威脅，恐嚇
bullish,a.股票行情看漲的；樂觀的，自信的
bullyrag,v.恐嚇，威脅
bustle,v.奔忙，忙碌；n.喧鬧，熙熙攘攘
canorous,a.音調優美的，響亮的
chaffing,a.玩笑的，嘲弄的
champ,v.咀嚼(變體chump)
cheeky,a.無禮的，厚顏無恥的
chipper,a.充滿活力的，愉快的
chubby,a.豐滿的，圓滾滾的
chuck,v.扔或拋，拋棄，解雇；辭職
clamber,v.爬上，攀登
clammy,a.冷而粘濕的
con,n.反對；v.欺騙
countrified,a.土氣的，粗俗的
crackpot,n.狂想者，癲狂的人
crib,v.抄襲，剽竊
crimp,v.壓褶，使(頭髮)捲曲；阻礙，束縛
cull,v.挑選，精選；n.挑剩下的次品
dash,v.破壞；使受挫；使羞愧
deluxe,a.豪華的，華麗的
desist,v.停止
dicker,v.討價還價
dillydally,v.磨蹭，浪費時間
dither,n./v.慌張，猶豫不決
divers,a.多樣的，各種各樣的
dowse,v.探尋水源或礦藏
draggy,a.單調而無生氣的
drawn,a.憔悴的
drip,v.(使)滴下
drool,v.流口水，胡說
drub,v.重擊；嚴責；徹底擊敗
edgy,a.急躁的，易激動的；鋒利的
elysian,a.樂土的，像天空的，幸福的
encomiastic,a.贊頌的，阿諛的
epideictic,a.誇耀的
fancied,a.空想的，虛構的
fatidic,a.預言的
finagle,v.騙取，騙得
flatulent,a.自負的，浮誇的
flighty,a.輕浮的；反復無常的
flimflam,n.欺騙；胡言亂語
flossy,a.華麗的，時髦的；絲綿的，柔軟的
flummox,v.使混亂；背誦出錯；失敗
folksy,a.有民間風味的；親切的，友好的
freestanding,a.獨立的；不依靠支撐物的
frumpy,a.邋遢的；老式的，過時的
fuddle,v.灌醉；使迷糊
funky,a.有霉臭味的
gabby,a.饒舌的
gawky,a.遲鈍的，笨拙的
goof,v.犯錯誤；消磨時間
gracile,a.細弱的，纖細優美的
gravitate,v.被強烈地吸引
hanker,v.渴望，追求
hazy,a.朦朧的，不清楚的
heady,a.任性的；魯莽的
huffish,a.不高興的，傲慢的
huffy,a.憤怒的，怨恨的
hunker,v.蹲下；頑固地堅持
hurtle,v.急飛
interlard,v.使混雜，混入
jab,v.猛刺
josh,v.戲弄，戲耍(無惡意地)
jostle,v.推擠；擠開通路
jounce,v.顛簸地移動
jumpy,a.緊張不安的，心驚肉跳的
lard,v.使豐富，使充滿
leach,v.過濾
lymphatic,a.無力的；遲緩的
matte,a.無光澤的
maunder,v.胡扯；遊蕩
mealy,a.粉狀的；膚色不健康的，蒼白的
muck,n.堆肥，淤泥；v.施肥；搗亂
mull,v.思考，思索；n.混亂
munch,v.出聲咀嚼
musky,a.麝香的
nifty,a.漂亮的，妙的
nippy,a.寒冷刺骨的，刺鼻的
obsessive,a.強迫性的；分神的
oleaginous,a.油膩的；圓滑的，滿口恭維的
ornery,a.頑固的，愛爭吵的
pavid,a.害怕的，膽小的
peachy,a.極好的，漂亮的
peckish,a.餓的；急躁的
pelagic,a.遠洋的，海水的
pendulous,a.下垂的
perk,v.恢復，振作；打扮；竪起
picayunish,a.微不足道的，不值錢的
piteous,a.可憐的
pop,v.發出砰的一聲；突然出現
